"type","id","created","modified","created_by_ref","name","description","aliases","object_marking_refs","external_references","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref","x_mitre_version","x_mitre_contributors"
"intrusion-set","intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662","2017-05-31T21:31:47.955Z","2018-01-17T12:56:55.080Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","APT1","APT1 is a Chinese threat group that has been attributed to the 2nd Bureau of the People’s Liberation Army (PLA) General Staff Department’s (GSD) 3rd Department, commonly known by its Military Unit Cover Designator (MUCD) as Unit 61398. (Citation: Mandiant APT1)","['APT1', 'Comment Crew', 'Comment Group', 'Comment Panda']","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Group/G0006', 'external_id': 'G0006'}, {'source_name': 'Mandiant APT1', 'description': 'Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.', 'url': 'https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"intrusion-set","intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb","2017-05-31T21:31:47.537Z","2018-01-17T12:56:55.080Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","APT12","APT12 is a threat group that has been attributed to China. (Citation: Meyers Numbered Panda)","['APT12', 'IXESHE', 'DynCalc', 'Numbered Panda', 'DNSCALC']","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Group/G0005', 'external_id': 'G0005'}, {'source_name': 'Meyers Numbered Panda', 'description': 'Meyers, A. (2013, March 29). Whois Numbered Panda. Retrieved January 14, 2016.', 'url': 'http://www.crowdstrike.com/blog/whois-numbered-panda/'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"intrusion-set","intrusion-set--d6e88e18-81e8-4709-82d8-973095da1e70","2017-05-31T21:31:56.270Z","2018-01-17T12:56:55.080Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","APT16","APT16 is a China-based threat group that has launched spearphishing campaigns targeting Japanese and Taiwanese organizations. (Citation: FireEye EPS Awakens Part 2)","['APT16']","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Group/G0023', 'external_id': 'G0023'}, {'source_name': 'FireEye EPS Awakens Part 2', 'description': 'Winters, R.. (2015, December 20). The EPS Awakens - Part 2. Retrieved January 22, 2016.', 'url': 'https://www.fireeye.com/blog/threat-research/2015/12/the-eps-awakens-part-two.html'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"intrusion-set","intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae","2017-05-31T21:31:57.307Z","2018-01-17T12:56:55.080Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","APT17","APT17 is a China-based threat group that has conducted network intrusions against U.S. government entities, the defense industry, law firms, information technology companies, mining companies, and non-government organizations. (Citation: FireEye APT17)","['APT17', 'Deputy Dog']","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Group/G0025', 'external_id': 'G0025'}, {'source_name': 'FireEye APT17', 'description': 'FireEye Labs/FireEye Threat Intelligence. (2015, May 14). Hiding in Plain Sight: FireEye and Microsoft Expose Obfuscation Tactic. Retrieved January 22, 2016.', 'url': 'https://www2.fireeye.com/rs/fireye/images/APT17%20Report.pdf'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"intrusion-set","intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648","2017-05-31T21:31:57.733Z","2018-01-17T12:56:55.080Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","APT18","APT18 is a threat group that has operated since at least 2009 and has targeted a range of industries, including technology, manufacturing, human rights groups, government, and medical. (Citation: Dell Lateral Movement)","['APT18', 'Threat Group-0416', 'TG-0416', 'Dynamite Panda']","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Group/G0026', 'external_id': 'G0026'}, {'source_name': 'Dell Lateral Movement', 'description': 'Carvey, H.. (2014, September 2). Where you AT?: Indicators of lateral movement using at.exe on Windows 7 systems. Retrieved January 25, 2016.', 'url': 'http://www.secureworks.com/resources/blog/where-you-at-indicators-of-lateral-movement-using-at-exe-on-windows-7-systems/'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"intrusion-set","intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c","2017-05-31T21:31:48.664Z","2018-01-17T12:56:55.080Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","APT28","APT28 is a threat group that has been attributed to the Russian government. (Citation: FireEye APT28) (Citation: SecureWorks TG-4127) (Citation: FireEye APT28) January 2017 (Citation: GRIZZLY STEPPE JAR) This group reportedly compromised the Democratic National Committee in April 2016. (Citation: Crowdstrike DNC June 2016)","['APT28', 'Sednit', 'Sofacy', 'Pawn Storm', 'Fancy Bear', 'STRONTIUM', 'Tsar Team', 'Threat Group-4127', 'TG-4127']","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Group/G0007', 'external_id': 'G0007'}, {'source_name': 'Crowdstrike DNC June 2016', 'description': 'Alperovitch, D.. (2016, June 15). Bears in the Midst: Intrusion into the Democratic National Committee. Retrieved August 3, 2016.', 'url': 'https://www.crowdstrike.com/blog/bears-midst-intrusion-democratic-national-committee/'}, {'source_name': 'FireEye APT28', 'description': 'FireEye. (2015). APT28: A WINDOW INTO RUSSIA’S CYBER ESPIONAGE OPERATIONS?. Retrieved August 19, 2015.', 'url': 'https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-apt28.pdf'}, {'source_name': 'GRIZZLY STEPPE JAR', 'description': 'Department of Homeland Security and Federal Bureau of Investigation. (2016, December 29). GRIZZLY STEPPE – Russian Malicious Cyber Activity. Retrieved January 11, 2017.'}, {'source_name': 'SecureWorks TG-4127', 'description': 'SecureWorks Counter Threat Unit Threat Intelligence. (2016, June 16). Threat Group-4127 Targets Hillary Clinton Presidential Campaign. Retrieved August 3, 2016.', 'url': 'https://www.secureworks.com/research/threat-group-4127-targets-hillary-clinton-presidential-campaign'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"intrusion-set","intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542","2017-05-31T21:31:52.748Z","2018-01-17T12:56:55.080Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","APT29","APT29 is threat group that has been attributed to the Russian government and has operated since at least 2008. (Citation: F-Secure The Dukes) (Citation: GRIZZLY STEPPE JAR) This group reportedly compromised the Democratic National Committee starting in the summer of 2015. (Citation: Crowdstrike DNC June 2016)","['APT29', 'The Dukes', 'Cozy Bear', 'CozyDuke']","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Group/G0016', 'external_id': 'G0016'}, {'source_name': 'F-Secure The Dukes', 'description': 'F-Secure Labs. (2015, September 17). The Dukes: 7 years of Russian cyberespionage. Retrieved December 10, 2015.', 'url': 'https://www.f-secure.com/documents/996508/1030745/dukes%20whitepaper.pdf'}, {'source_name': 'GRIZZLY STEPPE JAR', 'description': 'Department of Homeland Security and Federal Bureau of Investigation. (2016, December 29). GRIZZLY STEPPE – Russian Malicious Cyber Activity. Retrieved January 11, 2017.'}, {'source_name': 'Crowdstrike DNC June 2016', 'description': 'Alperovitch, D.. (2016, June 15). Bears in the Midst: Intrusion into the Democratic National Committee. Retrieved August 3, 2016.', 'url': 'https://www.crowdstrike.com/blog/bears-midst-intrusion-democratic-national-committee/'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"intrusion-set","intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9","2017-05-31T21:31:55.853Z","2018-01-17T12:56:55.080Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","APT3","APT3 is a China-based threat group that researchers have attributed to China's Ministry of State Security. (Citation: FireEye Clandestine Wolf) (Citation: Recorded Future APT3 May 2017) This group is responsible for the campaigns known as Operation Clandestine Fox, Operation Clandestine Wolf, and Operation Double Tap. (Citation: FireEye Clandestine Wolf) (Citation: FireEye Operation Double Tap) As of June 2015, the group appears to have shifted from targeting primarily US victims to primarily political organizations in Hong Kong. (Citation: Symantec Buckeye)

 (Citation: APT3 Adversary Emulation Plan)","['APT3', 'Gothic Panda', 'Pirpi', 'UPS Team', 'Buckeye', 'Threat Group-0110', 'TG-0110']","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Group/G0022', 'external_id': 'G0022'}, {'source_name': 'FireEye Clandestine Wolf', 'description': 'Eng, E., Caselden, D.. (2015, June 23). Operation Clandestine Wolf – Adobe Flash Zero-Day in APT3 Phishing Campaign. Retrieved January 14, 2016.', 'url': 'https://www.fireeye.com/blog/threat-research/2015/06/operation-clandestine-wolf-adobe-flash-zero-day.html'}, {'source_name': 'Recorded Future APT3 May 2017', 'description': 'Insikt Group (Recorded Future). (2017, May 17). Recorded Future Research Concludes Chinese Ministry of State Security Behind APT3. Retrieved June 18, 2017.', 'url': 'https://www.recordedfuture.com/chinese-mss-behind-apt3/'}, {'source_name': 'FireEye Operation Double Tap', 'description': 'Moran, N., et al. (2014, November 21). Operation Double Tap. Retrieved January 14, 2016.', 'url': 'https://www.fireeye.com/blog/threat-research/2014/11/operation%20doubletap.html'}, {'source_name': 'Symantec Buckeye', 'description': 'Symantec Security Response. (2016, September 6). Buckeye cyberespionage group shifts gaze from US to Hong Kong. Retrieved September 26, 2016.', 'url': 'http://www.symantec.com/connect/blogs/buckeye-cyberespionage-group-shifts-gaze-us-hong-kong'}, {'source_name': 'APT3 Adversary Emulation Plan', 'description': 'Korban, C, et al. (2017, September). APT3 Adversary Emulation Plan. Retrieved January 16, 2018.', 'url': 'https://attack.mitre.org/w/img%20auth.php/6/6c/APT3%20Adversary%20Emulation%20Plan.pdf'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"intrusion-set","intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd","2017-05-31T21:31:51.026Z","2018-01-17T12:56:55.080Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","APT30","APT30 is a threat group suspected to be associated with the Chinese government. (Citation: FireEye APT30) While Naikon shares some characteristics with APT30, the two groups do not appear to be exact matches. (Citation: Baumgartner Golovkin Naikon 2015)","['APT30']","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Group/G0013', 'external_id': 'G0013'}, {'source_name': 'FireEye APT30', 'description': 'FireEye Labs. (2015, April). APT30 AND THE MECHANICS OF A LONG-RUNNING CYBER ESPIONAGE OPERATION. Retrieved May 1, 2015.', 'url': 'https://www2.fireeye.com/rs/fireye/images/rpt-apt30.pdf'}, {'source_name': 'Baumgartner Golovkin Naikon 2015', 'description': 'Baumgartner, K., Golovkin, M.. (2015, May 14). The Naikon APT. Retrieved January 14, 2015.', 'url': 'https://securelist.com/the-naikon-apt/69953/'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"intrusion-set","intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e","2017-12-14T16:46:06.044Z","2018-01-17T12:56:55.080Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","APT32","APT32 is a threat group that has been active since at least 2014. The group has targeted multiple private sector industries as well as with foreign governments, dissidents, and journalists, and has extensively used strategic web compromises to compromise victims. The group is believed to be Vietnam-based. (Citation: FireEye APT32 May 2017) (Citation: Volexity OceanLotus Nov 2017)","['APT32', 'OceanLotus Group']","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Group/G0050', 'external_id': 'G0050'}, {'source_name': 'FireEye APT32 May 2017', 'description': 'Carr, N.. (2017, May 14). Cyber Espionage is Alive and Well: APT32 and the Threat to Global Corporations. Retrieved June 18, 2017.', 'url': 'https://www.fireeye.com/blog/threat-research/2017/05/cyber-espionage-apt32.html'}, {'source_name': 'Volexity OceanLotus Nov 2017', 'description': 'Lassalle, D., et al. (2017, November 6). OceanLotus Blossoms: Mass Digital Surveillance and Attacks Targeting ASEAN, Asian Nations, the Media, Human Rights Groups, and Civil Society. Retrieved November 6, 2017.', 'url': 'https://www.volexity.com/blog/2017/11/06/oceanlotus-blossoms-mass-digital-surveillance-and-exploitation-of-asean-nations-the-media-human-rights-and-civil-society/'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
